;;;;1;2;3;4;5;6;7;8;9;10;11;12
;PT;DIVISI;Wilayah;No Blok;;TT;LUAS;POKOK;;;;ASAL BIBIT;TOPOGRAFI;SOIL TYPE;SPH
;;;;Baru;Lama;;;TOTAL;PRODUKTIF;BELUM PRODUKTIF;Mati;;;;
116;APK;ASPARAGA;Sukamaju;Q17;BT17,BT19;2017; 35,06 ; 1.992,00 ; 767 ;; 1.225 ;DAMIMAS;;; 22 
117;APK;ASPARAGA;Sukamaju;Q18;BS26;2017; 12,72 ; 82,00 ; - ;; 82 ;DAMIMAS;;;
118;APK;ASPARAGA;Payu;R1;BI11, BI12;2017; 25,25 ; 2.037,00 ; - ;; 2.037 ;DAMIMAS;;;
119;APK;ASPARAGA;Payu;R2;BK10, BI10, BJ11, BJ12, BJ13;2017; 39,85 ; 3.246,00 ; 374 ;; 2.872 ;DAMIMAS;;; 9 
120;APK;ASPARAGA;Payu;R3;BL9;2017; 7,03 ; 438,00 ; - ;; 438 ;DAMIMAS;;;
121;APK;ASPARAGA;Payu;R4;BM11, BM13;2017; 9,69 ; 1.216,00 ; 571 ;; 645 ;DAMIMAS;;; 59 
122;APK;ASPARAGA;Payu;R5;BM12, BM14, BM15;2017; 30,17 ; 2.616,00 ; - ;; 2.616 ;DAMIMAS;;;
123;APK;ASPARAGA;Payu;R6;BM16, BM17;2017; 32,15 ; 4.146,00 ; - ;; 4.146 ;DAMIMAS;;;
124;APK;ASPARAGA;Payu;R7;BN12, BN13, BN14;2017; 26,31 ; 2.944,00 ; 696 ;; 2.248 ;DAMIMAS;;; 26 
125;APK;ASPARAGA;Payu;R8;BN15;2017; 5,44 ; 687,00 ; - ;; 687 ;DAMIMAS;;;
126;APK;ASPARAGA;Payu;R9;BN17, BN18, BN19;2017; 26,03 ; 2.586,00 ; 2.577 ;; 9 ;DAMIMAS;;; 99 
127;APK;ASPARAGA;Payu;R10;BO17;2017; 14,11 ; 2.104,00 ; 1.147 ;; 957 ;DAMIMAS;;; 81 
128;APK;ASPARAGA;Payu;R11;BO20, BO21;2017; 20,80 ; 2.169,00 ; 1.677 ;; 492 ;DAMIMAS;;; 81 
129;APK;ASPARAGA;Payu;R12;BO22, BP25;2016; 8,72 ; 981,00 ; 866 ;; 115 ;DAMIMAS;;; 99 
130;APK;ASPARAGA;Payu;R13;BP15;2016; 15,10 ; 1.437,00 ; 1.155 ;; 282 ;DAMIMAS;;; 76 
131;APK;ASPARAGA;Payu;R14;BP16, BP17;2017; 30,91 ; 3.469,00 ; 2.810 ;; 659 ;DAMIMAS;;; 91 
132;APK;ASPARAGA;Payu;R15;BP18, BP19;2017; 13,56 ; 1.301,00 ; 1.199 ;; 102 ;DAMIMAS;;; 88 
133;APK;ASPARAGA;Payu;R16;BP21, BP22, BQ24, BQ26;2016; 16,85 ; 2.401,00 ; 1.877 ;; 524 ;DAMIMAS;;; 111 
134;APK;ASPARAGA;Payu;R17;BQ22;2017; 5,84 ; 240,00 ; - ;; 240 ;DAMIMAS;;;
135;APK;ASPARAGA;Payu;R18;BQ23, BQ25;2017; 15,48 ; 1.115,00 ; 372 ;; 743 ;DAMIMAS;;; 24 
136;APK;ASPARAGA;Payu;R19;BR23, BR24, BR25, BR26;2016; 28,07 ; 3.398,00 ; 2.843 ;; 555 ;DAMIMAS;;; 101 
137;APK;ASPARAGA;Payu;R20;BS24, BS25;2016; 18,66 ; 965,00 ; 696 ;; 269 ;DAMIMAS;;; 37 
138;APK;ASPARAGA;Asparaga;S1;BA7, BB11, BB12,BA14, BB14, BB15;2017; 25,02 ; 2.671,00 ; 2.107 ;; 564 ;DAMIMAS;;; 84 
139;APK;ASPARAGA;Asparaga;S2;BA9;2018; 1,60 ; - ; - ;; -   ;DAMIMAS;;;
140;APK;ASPARAGA;Asparaga;S3;BB19, BC18, BC19, BC20, BC21, BC22;2017; 34,40 ; 3.091,00 ; 1.576 ;; 1.515 ;DAMIMAS;;; 46 
141;APK;ASPARAGA;Asparaga;S4;BB9, BB10, BC13;2017; 26,11 ; 2.303,00 ; 1.251 ;; 1.052 ;DAMIMAS;;; 48 
142;APK;ASPARAGA;Asparaga;S5;BC14, BC15, BC16, BC17;2017; 36,85 ; 4.293,00 ; 2.850 ;; 1.443 ;DAMIMAS;;; 77 
143;APK;ASPARAGA;Asparaga;S6;BD9, BD10, BD15, BD16, BD19;2017; 31,40 ; 2.594,00 ; 1.528 ;; 1.066 ;DAMIMAS;;; 49 
144;APK;ASPARAGA;Asparaga;S7;BD19, BD20, BD8, BD12, BE16, BE9;2017; 35,17 ; 3.695,00 ; 1.125 ;; 2.570 ;DAMIMAS;;; 32 
